caminho_relativo,split,classe,largura,altura,formato
train/9/aug_80_run_06_1775_9.png,train,9,442,248,PNG
train/9/aug_700_run_06_1793_9.png,train,9,442,248,PNG
train/9/aug_2_run_06_1819_9.png,train,9,442,248,PNG
train/9/aug_662_run_06_1768_9.png,train,9,442,248,PNG
train/9/aug_925_run_06_1811_9.png,train,9,442,248,PNG
train/9/aug_2578_run_06_1811_9.png,train,9,442,248,PNG
train/9/aug_963_run_06_1806_9.png,train,9,442,248,PNG
train/9/aug_2502_run_06_1799_9.png,train,9,442,248,PNG
train/9/aug_1095_run_06_1810_9.png,train,9,442,248,PNG
train/9/aug_1677_run_06_1805_9.png,train,9,442,248,PNG
train/9/aug_669_run_06_1765_9.png,train,9,442,248,PNG
train/9/aug_950_run_06_1761_9.png,train,9,442,248,PNG
train/9/aug_982_run_06_1822_9.png,train,9,442,248,PNG
train/9/aug_857_run_06_1765_9.png,train,9,442,248,PNG
train/9/aug_4_run_06_1810_9.png,train,9,442,248,PNG
train/9/aug_621_run_06_1822_9.png,train,9,442,248,PNG
train/9/aug_2461_run_06_1768_9.png,train,9,442,248,PNG
train/9/aug_2547_run_06_1822_9.png,train,9,442,248,PNG
train/9/aug_1464_run_06_1822_9.png,train,9,442,248,PNG
train/9/aug_1462_run_06_1770_9.png,train,9,442,248,PNG
train/9/aug_1867_run_06_1767_9.png,train,9,442,248,PNG
train/9/aug_559_run_06_1785_9.png,train,9,442,248,PNG
train/9/aug_1119_run_06_1813_9.png,train,9,442,248,PNG
train/9/aug_881_run_06_1808_9.png,train,9,442,248,PNG
train/9/aug_2037_run_06_1805_9.png,train,9,442,248,PNG
train/9/aug_86_run_06_1768_9.png,train,9,442,248,PNG
train/9/aug_1752_run_06_1762_9.png,train,9,442,248,PNG
train/9/aug_1473_run_06_1806_9.png,train,9,442,248,PNG
train/9/aug_934_run_06_1798_9.png,train,9,442,248,PNG
train/9/aug_377_run_06_1788_9.png,train,9,442,248,PNG
train/9/aug_1476_run_06_1810_9.png,train,9,442,248,PNG
train/9/aug_1001_run_06_1830_9.png,train,9,442,248,PNG
train/9/aug_1944_run_06_1814_9.png,train,9,442,248,PNG
train/9/aug_1590_run_06_1782_9.png,train,9,442,248,PNG
train/9/aug_2554_run_06_1779_9.png,train,9,442,248,PNG
train/9/aug_514_run_06_1769_9.png,train,9,442,248,PNG
train/9/aug_636_run_06_1805_9.png,train,9,442,248,PNG
train/9/aug_624_run_06_1798_9.png,train,9,442,248,PNG
train/9/aug_1853_run_06_1810_9.png,train,9,442,248,PNG
train/9/aug_2027_run_06_1791_9.png,train,9,442,248,PNG
train/9/aug_1628_run_06_1801_9.png,train,9,442,248,PNG
train/9/aug_884_run_06_1782_9.png,train,9,442,248,PNG
train/9/aug_2248_run_06_1792_9.png,train,9,442,248,PNG
train/9/aug_1865_run_06_1776_9.png,train,9,442,248,PNG
train/9/aug_1057_run_06_1784_9.png,train,9,442,248,PNG
train/9/run_06_1764_9.png,train,9,442,248,PNG
train/9/aug_716_run_06_1829_9.png,train,9,442,248,PNG
train/9/aug_279_run_06_1807_9.png,train,9,442,248,PNG
train/9/aug_2699_run_06_1808_9.png,train,9,442,248,PNG
train/9/aug_773_run_06_1775_9.png,train,9,442,248,PNG
train/9/aug_256_run_06_1792_9.png,train,9,442,248,PNG
train/9/aug_2342_run_06_1789_9.png,train,9,442,248,PNG
train/9/aug_633_run_06_1820_9.png,train,9,442,248,PNG
train/9/aug_143_run_06_1770_9.png,train,9,442,248,PNG
train/9/aug_1748_run_06_1776_9.png,train,9,442,248,PNG
train/9/aug_218_run_06_1776_9.png,train,9,442,248,PNG
train/9/aug_2651_run_06_1819_9.png,train,9,442,248,PNG
train/9/aug_496_run_06_1784_9.png,train,9,442,248,PNG
train/9/aug_2104_run_06_1766_9.png,train,9,442,248,PNG
train/9/aug_1591_run_06_1766_9.png,train,9,442,248,PNG
train/9/aug_243_run_06_1806_9.png,train,9,442,248,PNG
train/9/aug_945_run_06_1820_9.png,train,9,442,248,PNG
train/9/aug_2558_run_06_1811_9.png,train,9,442,248,PNG
train/9/aug_1891_run_06_1776_9.png,train,9,442,248,PNG
train/9/aug_1637_run_06_1775_9.png,train,9,442,248,PNG
train/9/aug_217_run_06_1761_9.png,train,9,442,248,PNG
train/9/aug_578_run_06_1765_9.png,train,9,442,248,PNG
train/9/aug_2425_run_06_1779_9.png,train,9,442,248,PNG
train/9/aug_2398_run_06_1766_9.png,train,9,442,248,PNG
train/9/aug_1157_run_06_1808_9.png,train,9,442,248,PNG
train/9/aug_1187_run_06_1766_9.png,train,9,442,248,PNG
train/9/aug_440_run_06_1830_9.png,train,9,442,248,PNG
train/9/aug_2173_run_06_1806_9.png,train,9,442,248,PNG
train/9/aug_1014_run_06_1773_9.png,train,9,442,248,PNG
train/9/aug_2274_run_06_1791_9.png,train,9,442,248,PNG
train/9/aug_586_run_06_1777_9.png,train,9,442,248,PNG
train/9/aug_448_run_06_1786_9.png,train,9,442,248,PNG
train/9/aug_1612_run_06_1793_9.png,train,9,442,248,PNG
train/9/aug_2212_run_06_1773_9.png,train,9,442,248,PNG
train/9/aug_2644_run_06_1814_9.png,train,9,442,248,PNG
train/9/aug_1325_run_06_1822_9.png,train,9,442,248,PNG
train/9/aug_1931_run_06_1794_9.png,train,9,442,248,PNG
train/9/aug_618_run_06_1783_9.png,train,9,442,248,PNG
