caminho_relativo,split,classe,largura,altura,formato
train/def_front/cast_def_0_361.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_8639.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_4995.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_5221.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_4748.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_1705.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_9879.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_6874.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_5302.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_9320.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_6724.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_4697.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_114.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_6531.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_4815.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_8615.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_8519.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_2820.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_7217.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_7520.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_6023.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_9836.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_572.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_1772.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_5971.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_6929.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_3756.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_4904.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_3223.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_7039.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_3114.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_4158.jpeg,train,def_front,512,512,JPEG
train/def_front/cast_def_0_3831.jpeg,train,def_front,512,512,JPEG
